NAME,Median Family Income,Mean Family Income,Per Capita Income,Unemployment Rate,Perc With Health Insurance,Perc Families Below Poverty Line,Perc People Below Poverty Line
Alabama,70878,91751,30458,5.4,90.3,11.4,15.8
Alaska,96658,118906,39236,6.9,87.8,7.1,10.4
Arizona,78845,103006,34644,5.6,89.3,9.5,13.5
Arkansas,65673,87797,29210,5.3,91.3,11.6,16
California,95971,132761,41276,6.5,92.8,8.7,12.3
Colorado,99270,126852,42807,4.6,92.1,6.1,9.6
Connecticut,106441,145819,47869,6.1,94.8,6.8,10
Delaware,89545,113479,38917,5.7,94.2,7.7,11.4
District of Columbia,127629,181289,63793,7.1,96.6,11.6,15.4
Florida,74237,102392,35216,5.3,87.4,9.3,13.1
Georgia,78834,106071,34516,5.5,86.9,10.3,13.9
Hawaii,103593,127545,39045,5.2,96,6.5,9.5
Idaho,75851,97168,31509,4,89.8,7.5,11.4
Illinois,91408,120630,39571,6.2,93,8.3,11.8
Indiana,77860,97617,32537,4.7,92,8.6,12.5
Iowa,83979,102990,34817,3.9,95.1,7,11
Kansas,82260,104742,34968,4.1,91.1,7.6,11.5
Kentucky,70178,90939,30634,5.3,94.2,11.9,16.3
Louisiana,69093,92154,30340,6.8,91.7,14,18.8
Maine,81740,101983,36171,4.2,92.6,6.6,11
Maryland,111378,141430,45915,5.3,94,6.2,9.2
Massachusetts,112543,148067,48617,5.4,97.2,6.6,9.9
Michigan,80365,103151,34768,6.2,94.7,8.9,13.3
Minnesota,98356,123870,41204,4,95.4,5.6,9.2
Mississippi,62802,81636,26807,6.8,87.9,14.5,19.4
Missouri,77976,100355,33770,4.5,90.5,8.5,12.8
Montana,77152,99765,34423,4.1,91.4,7.5,12.5
Nebraska,85162,106469,35189,3.3,92,6.6,10.3
Nevada,78456,102444,34621,7.1,88.7,9.1,12.9
New Hampshire,104193,128164,43877,3.8,94.1,4.7,7.4
New Jersey,110115,146057,46691,6.2,92.4,7,9.8
New Mexico,66533,87466,29624,6.6,90.4,13.8,18.3
New York,92731,131094,43208,6.2,94.7,9.8,13.5
North Carolina,75815,101094,34209,5.3,89.3,9.7,13.7
North Dakota,92066,111910,37343,3.2,92.5,6.3,10.7
Ohio,79470,101540,34526,5.3,93.7,9.3,13.4
Oklahoma,71155,92549,30976,5,85.7,11,15.2
Oregon,86066,110885,37816,5.6,93.3,7.5,12.1
Pennsylvania,86142,111872,37725,5.5,94.4,8,11.8
Rhode Island,95198,119096,39603,6,95.6,7.4,11.3
South Carolina,72899,96108,32823,5.3,89.5,10.4,14.5
South Dakota,81756,100838,33468,3.2,90.4,7.7,12.5
Tennessee,73248,97441,32908,5.3,89.9,10.3,14.3
Texas,80498,107893,34255,5.4,82.4,10.7,14
Utah,90665,113800,33378,3.5,91,5.9,8.8
Vermont,88607,109701,37903,3.9,95.9,6,10.5
Virginia,98771,130284,43267,4.6,92.1,6.8,9.9
Washington,98691,129229,43817,5.1,93.6,6.5,10
West Virginia,65845,83583,28761,6.4,93.6,12,16.9
Wisconsin,85623,106121,36754,3.5,94.5,6.6,10.7
Wyoming,85901,104683,36288,4.2,88.3,6.8,10.7
Puerto Rico,26745,40087,14047,14.6,93.2,39.2,42.7
